risk_score,time_horizon_years,equity_pct,bond_pct,max_single_etf_weight,num_etfs,target_equity_weight,equity_gap,concentration_hhi,label
0.42454802688998333,10.182459735386683,0.8528999606404151,0.14710003935958493,0.23411596227969383,12.0,0.5184110201674875,0.33448894047292754,0.12002717469017937,too_risky
0.46600077079272656,17.972837710416115,0.8218879574177076,0.1781120425822924,0.19134057685452113,14.0,0.549500578094545,0.2723873793231626,0.09875930267683998,too_risky
0.6218326676820698,14.18171078853114,0.9623944261097036,0.037605573890296395,0.39897656945780596,9.0,0.6663745007615524,0.29601992534815125,0.21285459954481872,too_risky
0.5079232154006187,14.711312114424285,0.7674262250453028,0.23257377495469722,0.1966420717784105,14.0,0.580942411550464,0.18648381349483878,0.10774686315052273,good_fit
0.19673042491623402,5.841722035755202,0.898653826505375,0.10134617349462505,0.24706126447916568,11.0,0.34754781868717555,0.5511060078181994,0.12299895818697018,too_risky
0.5882241622651132,20.9485728881396,0.8950138606522149,0.10498613934778511,0.2709542745312021,13.0,0.641168121698835,0.2538457389533799,0.12698049060945013,too_risky
0.3816352703634198,11.363726515308818,0.7362311800807433,0.2637688199192567,0.2522296846346593,14.0,0.4862264527725649,0.2500047273081784,0.13665928686007867,too_risky
0.23647781190340203,6.319022958749508,0.3541222022135575,0.6458777977864425,0.33099037709780266,11.0,0.37735835892755154,-0.02323615671399404,0.17779788450754308,good_fit
0.4630934707695983,21.580902715173032,0.9277755557720797,0.07222444422792029,0.27490287339323427,12.0,0.5473201030771988,0.3804554526948809,0.13410352916290455,too_risky
0.7913340489764981,40.0,0.9117067562501525,0.08829324374984748,0.32313919939392616,12.0,0.7935005367323735,0.11820621951777899,0.17790471137563227,good_fit
0.8408219329952259,23.019809971447103,0.3923395958065349,0.6076604041934651,0.44426104236699565,8.0,0.8306164497464195,-0.4382768539398846,0.27730480922064366,too_conservative
0.4851018218270794,11.582431732123514,0.9956948613793489,0.004305138620651072,0.20576760131899574,14.0,0.5638263663703096,0.43186849500903934,0.11954866688157356,too_risky
0.7319563548472597,16.587928742989305,0.9466917414440527,0.05330825855594734,0.4920460611225551,11.0,0.7489672661354447,0.19772447530860793,0.2903532052584642,good_fit
0.19328874585874642,20.81803420306122,0.8584723352598723,0.14152766474012768,0.18766886950121364,12.0,0.34496655939405985,0.5135057758658125,0.1138973627075751,too_risky
0.4381449739317029,10.958778520475473,0.9979064536680585,0.002093546331941476,0.1969074765653088,10.0,0.5286087304487772,0.4692977232192813,0.12661654169335954,too_risky
0.5274941938937513,34.669492417164975,0.8056111186856256,0.19438888131437437,0.2065068577310135,10.0,0.5956206454203135,0.20999047326531217,0.12630325523912114,good_fit
